2015/03/27 19:49:00 INFO  - jmeter.util.JMeterUtils: Setting Locale to es_MX 
2015/03/27 19:49:01 INFO  - jmeter.util.JMeterUtils: Could not find resources for 'es_MX', using 'es' 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\yadira13\Documents\6. Val. y Ver. de Sw\3\Pruebas\Pruebas de Performance (carga y estres)\JMeter\apache-jmeter-2.10\bin\user.properties 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\yadira13\Documents\6. Val. y Ver. de Sw\3\Pruebas\Pruebas de Performance (carga y estres)\JMeter\apache-jmeter-2.10\bin\system.properties 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: Version 2.10 r1533061 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: java.version=1.8.0_40 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: os.name=Windows 8 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: os.arch=amd64 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: os.version=6.2 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: Default Locale=español (México) 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: JMeter  Locale=español (México) 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: JMeterHome=C:\Users\yadira13\Documents\6. Val. y Ver. de Sw\3\Pruebas\Pruebas de Performance (carga y estres)\JMeter\apache-jmeter-2.10 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: user.dir  =C:\Users\yadira13\Documents\6. Val. y Ver. de Sw\3\Pruebas\Pruebas de Performance (carga y estres)\JMeter\apache-jmeter-2.10\bin 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: PWD       =C:\Users\yadira13\Documents\6. Val. y Ver. de Sw\3\Pruebas\Pruebas de Performance (carga y estres)\JMeter\apache-jmeter-2.10\bin 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: IP: 192.168.1.89 Name: yadiraesparza FullName: yadiraesparza.lan 
2015/03/27 19:49:01 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/03/27 19:49:03 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/03/27 19:49:03 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/03/27 19:49:04 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/03/27 19:49:05 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/03/27 19:49:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/03/27 19:49:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/03/27 19:49:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/03/27 19:49:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/03/27 19:49:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/03/27 19:49:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/03/27 19:49:07 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2015/03/27 19:49:07 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/03/27 19:49:07 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file C:\Users\yadira13\Documents\6. Val. y Ver. de Sw\3\Pruebas\Pruebas de Performance (carga y estres)\JMeter\apache-jmeter-2.10\bin\proxyserver.jks 
2015/03/27 19:49:09 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/03/27 19:49:09 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/03/27 19:49:09 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/03/27 19:49:09 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
